id_medicamento,ium,principio_activo,nombre_comercial,forma_farmaceutica,concentracion,unidad_medida,presentacion_comercial,es_combinado
136,1A1027171001100,EXTRACTO ALERGENICO AEDES AEGYPTY (MOSQUITO) 100%,EH RETARD,SUSPENSION INYECTABLE,500,MCG/ML,ESTUCHES X 2 VIALES,0
137,1A1027181000101,ALERGENO SOLENOPSIS SP (HORMIGA 100%),RETARD EH,SUSPENSION INYECTABLE,500,MCG/ML,"ESTUCHE X 2 VIALES X 3,5 ML",0
138,1A1027181002100,EXTRACTO ALERGENICO SOLENOPSIS SP (HORMIGA) 100%,EH RETARD,SUSPENSION INYECTABLE,500,MCG/ML,ESTUCHES X 2 VIALES,0
139,1A1027981001100,AMIODARONA CLORHIDRATO,NO REPORTADO,TABLETA,200,MG,CAJAS X 20 TABLETAS,0
140,1A1027981002100,AMIODARONA CLORHIDRATO,NO REPORTADO,TABLETA,200,MG,CAJAS X 1 FRASCO CON 100 TABLETAS CADA UNO,0
141,1A1027981003100,AMIODARONA,NO REPORTADO,TABLETA,200,MG,CAJAS X 30 TABLETAS,0
142,1A1027981004100,AMIODARONA,NO REPORTADO,TABLETA,200,MG,CAJAS X 100 TABLETAS,0
143,1A1028251000100,L-ASPARAGINASA,NO REPORTADO,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,10000,UI,VIAL X 15 ML,0
144,1A1028361001100,L-ASPARAGINASA,CHRYSANTA 3937,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,10000,UI/ML,VIAL X 5 ML,0
145,1A1028881000100,ASPARAGINASA E COLI,SPECTRILA,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,10000,UI,VIAL X 20 ML,0
146,1A1028941000100,ALERGENO MEZCLA CAINAS III,NO REPORTADO,CREMA,100,MG/ML,JERINGA X 5ML,0
147,1A1030051000100,ANFOTERICINA B,LIKA LABS,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,3.3,MG/ML,CAJAS X 1 VIAL X 15 ML,0
148,1A1030061000100,ANFOTERICINA B LIPOSOMAL,L-AMPHOSEVEN,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,1.7,MG/ML,VIALES X 30 ML,0
