id_diagnostico,codigo_cie10,diagnostico,capitulo_cie10,tiene_diagnostico
113,E708,OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS AROMATICOS,"Enf. endocrinas, nutricionales y metabólicas",1
114,O721,OTRAS HEMORRAGIAS POSTPARTO INMEDIATAS,"Embarazo, parto y puerperio",1
115,I440,BLOQUEO AURICULOVENTRICULAR DE PRIMER GRADO,Enfermedades del sistema circulatorio,1
116,NO REPORTADO,HEMOGLOBINURIA PAROXISTICA NOCTURNA [MARCHIAFAVA-MICHELI],Enfermedades del sistema genitourinario,1
117,D444,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL CONDUCTO CRANEOFARINGEO,Neoplasias benignas / Enf. de la sangre,1
118,E761,MUCOPOLISACARIDOSIS TIPO II,"Enf. endocrinas, nutricionales y metabólicas",1
119,E839,"TRASTORNO DEL METABOLISMO DE LOS MINERALES, NO ESPECIFICADO","Enf. endocrinas, nutricionales y metabólicas",1
120,NO REPORTADO,OTRAS HIPERTENSIONES PULMONARES SECUNDARIAS,Enfermedades del sistema genitourinario,1
121,E039,"HIPOTIROIDISMO, NO ESPECIFICADO","Enf. endocrinas, nutricionales y metabólicas",1
122,D803,DEFICIENCIA SELECTIVA DE SUBCLASES DE LA INMUNOGLOBULINA G [IGG],Neoplasias benignas / Enf. de la sangre,1
123,Q871,SINDROMES DE MALFORMACIONES CONGENITAS ASOCIADAS PRINCIPALMENTE CON ESTATURA BAJA,Malformaciones congénitas,1
124,C460,SARCOMA DE KAPOSI DE LA PIEL,Neoplasias malignas (oncológico),1
125,E748,OTROS TRASTORNOS ESPECIFICADOS DEL METABOLISMO DE LOS CARBOHIDRATOS,"Enf. endocrinas, nutricionales y metabólicas",1
126,T655,EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS: NITROGLICERINA Y OTROS ACIDOS Y ESTERES NITRICOS,Traumatismos y envenenamientos,1
127,B181,"HEPATITIS VIRAL TIPO B CRONICA, SIN AGENTE DELTA",Enfermedades infecciosas y parasitarias,1
128,E873,SINDROME DE GITELMAN,"Enf. endocrinas, nutricionales y metabólicas",1
129,Q619,"ENFERMEDAD QUISTICA DEL RINON, NO ESPECIFICADA",Malformaciones congénitas,1
130,E770,DEFECTOS EN LA MODIFICACION POSTRASLACIONAL DE ENZIMAS LISOSOMALES,"Enf. endocrinas, nutricionales y metabólicas",1
131,M082,ARTRITIS JUVENIL DE COMIENZO GENERALIZADO,Enfermedades del sistema musculoesquelético,1
132,K908,OTROS TIPOS DE MALABSORCION INTESTINAL,Enfermedades del sistema digestivo,1
133,Q781,DISPLASIA POLIOSTOTICA FIBROSA,Malformaciones congénitas,1
134,NO REPORTADO,TUMOR MALIGNO,Enfermedades del sistema genitourinario,1
135,NO REPORTADO,ALERGIA NO ESPECIFICADA,Enfermedades del sistema genitourinario,1
136,F952,TRASTORNOS POR TICS MOTORES Y VOCALES MULTIPLES COMBINADOS [DE LA TOURETTE],Trastornos mentales y del comportamiento,1
137,C710,"TUMOR MALIGNO DEL CEREBRO, EXCEPTO LOBULOS Y VENTRICULOS",Neoplasias malignas (oncológico),1
138,D682,DEFICIENCIA HEREDITARIA DE OTROS FACTORES DE LA COAGULACION,Neoplasias benignas / Enf. de la sangre,1
139,C924,LEUCEMIA PROMIELOCITICA AGUDA,Neoplasias malignas (oncológico),1
140,NO REPORTADO,CONTROL GLICEMICO,Enfermedades del sistema genitourinario,1
141,NO REPORTADO,ESTADOS DE HIPOTENSION AGUDA,Enfermedades del sistema genitourinario,1
142,NO REPORTADO,"COADYUVANTE EN EL TRATAMIENTO DE TUMORES DE TROFOBLASTO, CORIOCARCINOMA",Enfermedades del sistema genitourinario,1
143,T809,"COMPLICACIONES NO ESPECIFICADAS CONSECUTIVAS A INFUSION, TRANSFUSION E INYECCION TERAPEUTICA",Traumatismos y envenenamientos,1
144,H250,CATARATA SENIL INCIPIENTE,Enfermedades del ojo y del oído,1
145,D430,"TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ENCEFALO, SUPRATENTORIAL",Neoplasias benignas / Enf. de la sangre,1
146,K768,COLESTASIS INTRAHEPATICA FAMILIAR PROGRESIVA TIPO 2,Enfermedades del sistema digestivo,1
147,G713,"MIOPATIA MITOCONDRICA, NO CLASIFICADA EN OTRA PARTE",Enfermedades del sistema nervioso,1
148,NO REPORTADO,ARRITMIAS GRAVES,Enfermedades del sistema genitourinario,1
149,NO REPORTADO,"ENFERMEDAD RENAL CRONICA, ETAPA 1",Enfermedades del sistema genitourinario,1
150,Q819,"EPIDERMOLISIS BULLOSA, NO ESPECIFICADA",Malformaciones congénitas,1
151,D038,MELANOMA IN SITU DE OTROS SITIOS,Neoplasias benignas / Enf. de la sangre,1
152,NO REPORTADO,EPILEPSIA REFRACTARIA,Enfermedades del sistema genitourinario,1
153,C341,"TUMOR MALIGNO DEL LOBULO SUPERIOR, BRONQUIO O PULMON",Neoplasias malignas (oncológico),1
154,N318,OTRAS DISFUNCIONES NEUROMUSCULARES DE LA VEJIGA,Enfermedades del sistema genitourinario,1
155,NO REPORTADO,LIPODISTROFIA CONGENITA PARCIAL,Enfermedades del sistema genitourinario,1
156,E755,OTROS TRASTORNOS DEL ALMACENAMIENTO DE LIPIDOS,"Enf. endocrinas, nutricionales y metabólicas",1
