id_importador,importador
252,RICHARD CASTANEDA PRADILLA - AUDIFARMA SA.
253,RLPHARMA SAS
254,ROCKA INTERNATIONAL SOLUTIONS
255,RUBBY ARISTIZABAL - ABBVIE SAS
256,SALUTIS SAS
257,SALUTIS SAS - AUDIFARMA SA
258,SALUTIS SAS - GLOBAL SERVICE
259,SALUTIS SAS - IMED ORPHAN SAS
260,SALUTIS SAS - IMPROVIT MEDICAL SAS
261,SALUTIS SAS - LABORATORIOS BIOPAS SA.
262,SALUTIS SAS - MULTICARE
263,SALUTIS SAS - ONCOLOGY HEALTH PHARMACEUTICALS SAS
264,SALUTIS SAS - RECORDATI RARE DISEASES COLOMBIA SAS
265,SALUTIS SAS - SUMA ACTIVA SAS
266,SALUTIS SAS - UNO HEALTHCARE
267,SALUTIS SAS - VALENTECH PHARMA COLOMBIA SAS
268,SANDRA ATEHORTUA - VALENTECH
269,SANDRA MARCELA ARISTIZABAL - VALENTECH
270,SANOFI AVENTIS DE COLOMBIA SA.
271,SANOFI PASTEUR SA
272,SELIG DE COLOMBIA SAS
273,SENIOR PHARMA SAS
274,SERANEST PHARMA LTDA
275,SETAA PHARMA SAS
276,SEVEN PHARMA COLOMBIA SAS
277,SICMAFARMA SAS.
278,SISTEMAS MEDICOS SAS
279,SOCIEDAD BRISTOL MYERS SQUIBB DE COLOMBIA SA
280,SOLMEDICAL SAS
281,SOLUCOL GROUP SAS
282,SPAGYRIX SAS
283,STENDHAL COLOMBIA S A S
284,STRENUUS MARKETING SAS.
285,SUMA ACTIVA SAS
286,SUMIVITALES LTDA.
287,SUMIVITALES SAS
288,SUMPHARMA SA.
289,TATIANA GARCIA DMITRIYEVA - AMGEN BIOTECNOLOGICA SAS
290,TECFARMA SAS
291,TIFFANY PAOLA CARRASQUILLA CAICEDO - VALENTECH PHARMA SA
292,UNO HEALTHCARE SAS.
293,VALENTECH PHARMA COLOMBIA SAS
294,VARAN FARMA SAS
295,VESALIUS PHARMA SAS.
296,VETMED COLOMBIA SAS
297,VITALCHEM LABORATORIES DE COLOMBIA SA.
298,VITALCHEM LABORATORIOS SAS
299,VITALIS SA CI
300,VITPHARMA SAS - IMPROVIT MEDICAL SAS
301,WILLOW PHARMA SAS
302,YESICA TATIANA OCAMPO GOMEZ
